"AA_angle_gyro.pitch_x","AA_angle_gyro.pitch_y","AA_angle_gyro.roll_x","AA_angle_gyro.roll_y","AA_motor.motor_1_x","AA_motor.motor_1_y","AA_motor.motor_2_x","AA_motor.motor_2_y","AA_motor.motor_3_x","AA_motor.motor_3_y","AA_motor.motor_4_x","AA_motor.motor_4_y"
11189,0.004853838589,11189,-0.01124517806,11189,3000,11189,3000,11189,4598.680664,11189,3534.240479,
11239,0.0003183069639,11239,-0.01269050967,11239,3000,11239,3000,11239,3898.406738,11239,3383.062256,
11289,0.001032360364,11289,-0.008997381665,11289,3193.121582,11289,3000,11289,3000,11289,3585.429443,
11339,0.001321194693,11339,-0.01034687925,11339,3000,11339,3000,11339,3191.841309,11339,4819.610352,
11389,0.000761052419,11389,-0.01173318736,11389,3000,11389,3000,11389,4173.705078,11389,4185.294922,
11439,-0.006373078097,11439,-0.01756361127,11439,3000,11439,3000,11439,5209.303223,11439,4049.131348,
11489,-0.003415263724,11489,-0.01901832037,11489,3000,11489,3000,11489,4066.851074,11489,4232.376465,
11539,0.002400110709,11539,-0.01621740498,11539,3089.751221,11539,3000,11539,3000,11539,4787.44873,
11589,0.01045533642,11589,-0.007998554036,11589,4279.943848,11589,3000,11589,3000,11589,3633.922607,
11639,0.01377461292,11639,-0.003831567476,11639,3021.118408,11639,3000,11639,3000,11639,4522.539062,
11689,0.01697519049,11689,-0.00215744623,11689,3000,11689,3000,11689,3009.088867,11689,4295.645508,
11739,0.01465310249,11739,-0.0007790854434,11739,3000,11739,3000,11739,4049.427246,11739,3708.884277,
11789,0.01203340385,11789,-0.002114042174,11789,3000,11789,3000,11789,3762.625977,11789,4191.916016,
11839,0.01035480015,11839,-0.003077676287,11839,3000,11839,3000,11839,4469.310547,11839,3941.125,
11889,0.007733038627,11889,-0.001720566419,11889,3000,11889,3000,11889,3893.038574,11889,3000,
11939,0.007597404998,11939,-0.002196263289,11939,3000,11939,3000,11939,3963.87915,11939,4185.084961,
11989,0.007884887978,11989,-0.004513179418,11989,3000,11989,3000,11989,3000,11989,5062.051758,
12039,0.005335745402,12039,-0.00435426645,12039,3000,12039,3000,12039,4485.106445,12039,3506.668945,
12089,-0.0005791708245,12089,-0.003647045,12089,3000,12089,3031.018555,12089,4004.582275,12089,3336.105469,
12139,-0.005103160627,12139,-0.002772819018,12139,3000,12139,3000,12139,5114.175781,12139,3000,
12189,-0.006847657263,12189,-0.002910739277,12189,3000,12189,3000,12189,3236.613281,12189,4022.88501,
12239,-0.01076487359,12239,0.000186448422,12239,3000,12239,3530.855469,12239,3814.005127,12239,3000,
12289,-0.01277775317,12289,-0.0006091826945,12289,3000,12289,3000,12289,4344.485352,12289,3651.784912,
12339,-0.01068925858,12339,0.001507099252,12339,3000,12339,3000,12339,3442.422852,12339,3151.673584,
12389,-0.01140262466,12389,0.003264131723,12389,3000,12389,3000,12389,3678.012451,12389,3814.729004,
12439,-0.01093790494,12439,0.003198991064,12439,3000,12439,3000,12439,3229.917236,12439,3611.214844,
12489,-0.01007012092,12489,0.004239216913,12489,3000,12489,3000,12489,4764.684082,12489,3011.463623,
12539,-0.008830615319,12539,0.004208384082,12539,3000,12539,3000,12539,3294.788574,12539,3801.632568,
12589,-0.007486334536,12589,0.004982377868,12589,3000,12589,3000,12589,3713.652832,12589,3995.448242,
12639,-0.00943883881,12639,0.004518269561,12639,3000,12639,3000,12639,3911.308105,12639,3579.991943,
12689,-0.006273077335,12689,0.00482742209,12689,3000,12689,3000,12689,3037.745605,12689,4130.860352,
12739,-0.005958723836,12739,0.003059503855,12739,3000,12739,3000,12739,4144.833496,12739,3711.654541,
12789,-0.003343213582,12789,0.004730289336,12789,3347.477783,12789,3000,12789,3000,12789,3589.782227,
12839,-0.003603559919,12839,0.007154176943,12839,3000,12839,3226.273193,12839,3292.142578,12839,3697.512451,
12889,-0.003405513708,12889,0.006230276544,12889,3000,12889,3000,12889,3338.98584,12889,3603.352051,
